player_id,Player,DraftYear,Pick,PickBand,text_profile
30,Harry Gallatin,1947,31,SecondRound,"Giocatore: Harry Gallatin. Provenienza: Truman State University. Scelto al Draft NBA 1947 con la pick 31. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 77.3%, buon tiratore di tiri liberi. Rimbalzi: 6684.0 a partita, forte rimbalzista. Assist: 1208.0 a partita, ottimo playmaker e passatore. Segna in media 8843.0 punti a partita. Win Shares in carriera: 78.4."
31,Johnny Ezersky,1947,32,SecondRound,"Giocatore: Johnny Ezersky. Provenienza: Rhode Island. Scelto al Draft NBA 1947 con la pick 32. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 66.9%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 169.0 a partita, ottimo playmaker e passatore. Segna in media 1031.0 punti a partita. Win Shares in carriera: 1.5."
32,Gene Vance,1947,33,SecondRound,"Giocatore: Gene Vance. Provenienza: Illinois. Scelto al Draft NBA 1947 con la pick 33. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 68.7%, tiratore di liberi migliorabile. Rimbalzi: 109.0 a partita, forte rimbalzista. Assist: 403.0 a partita, ottimo playmaker e passatore. Segna in media 1445.0 punti a partita. Win Shares in carriera: 10.3."
33,Garland Head,1947,34,SecondRound,"Giocatore: Garland Head. Provenienza: Texas Tech. Scelto al Draft NBA 1947 con la pick 34. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
34,Ed Koffenberger,1947,35,SecondRound,"Giocatore: Ed Koffenberger. Provenienza: Duke. Scelto al Draft NBA 1947 con la pick 35. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
35,George Brown,1947,36,SecondRound,"Giocatore: George Brown. Provenienza: High School. Scelto al Draft NBA 1947 con la pick 36. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
36,Dick Furey,1947,37,SecondRound,"Giocatore: Dick Furey. Provenienza: University of St. Thomas. Scelto al Draft NBA 1947 con la pick 37. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
37,Bob Kurland,1947,38,SecondRound,"Giocatore: Bob Kurland. Provenienza: Oklahoma State. Scelto al Draft NBA 1947 con la pick 38. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
38,Wimpy Quinn,1947,39,SecondRound,"Giocatore: Wimpy Quinn. Provenienza: Oregon. Scelto al Draft NBA 1947 con la pick 39. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
39,Abel Rodrigues,1947,40,SecondRound,"Giocatore: Abel Rodrigues. Provenienza: San Francisco. Scelto al Draft NBA 1947 con la pick 40. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
40,Charles Raynor,1947,41,SecondRound,"Giocatore: Charles Raynor. Provenienza: Houston. Scelto al Draft NBA 1947 con la pick 41. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
41,Jack Hewson,1947,42,SecondRound,"Giocatore: Jack Hewson. Provenienza: Temple. Scelto al Draft NBA 1947 con la pick 42. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 70.0%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 1.0 a partita, non particolarmente orientato agli assist. Segna in media 65.0 punti a partita. Win Shares in carriera: 0.1."
42,Andy Phillip,1947,43,SecondRound,"Giocatore: Andy Phillip. Provenienza: Illinois. Scelto al Draft NBA 1947 con la pick 43. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 69.5%, tiratore di liberi migliorabile. Rimbalzi: 2395.0 a partita, forte rimbalzista. Assist: 3759.0 a partita, ottimo playmaker e passatore. Segna in media 6384.0 punti a partita. Win Shares in carriera: 60.5."
43,Ron Livingstone,1947,44,SecondRound,"Giocatore: Ron Livingstone. Provenienza: Saint Mary's. Scelto al Draft NBA 1947 con la pick 44. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 69.2%, tiratore di liberi migliorabile. Rimbalzi: 297.0 a partita, forte rimbalzista. Assist: 217.0 a partita, ottimo playmaker e passatore. Segna in media 732.0 punti a partita. Win Shares in carriera: 2.4."
44,Dick Ives,1947,45,SecondRound,"Giocatore: Dick Ives. Provenienza: Iowa. Scelto al Draft NBA 1947 con la pick 45. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
45,Bob Joyce,1947,46,SecondRound,"Giocatore: Bob Joyce. Provenienza: Bates College. Scelto al Draft NBA 1947 con la pick 46. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
46,Bill Strannigan,1947,47,SecondRound,"Giocatore: Bill Strannigan. Provenienza: Wyoming. Scelto al Draft NBA 1947 con la pick 47. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
47,Paul Hoffman,1947,48,SecondRound,"Giocatore: Paul Hoffman. Provenienza: Purdue. Scelto al Draft NBA 1947 con la pick 48. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 67.6%, tiratore di liberi migliorabile. Rimbalzi: 1129.0 a partita, forte rimbalzista. Assist: 911.0 a partita, ottimo playmaker e passatore. Segna in media 3234.0 punti a partita. Win Shares in carriera: 12.4."
48,Matt Zunic,1947,49,SecondRound,"Giocatore: Matt Zunic. Provenienza: George Washington. Scelto al Draft NBA 1947 con la pick 49. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 70.6%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 50.0 a partita, ottimo playmaker e passatore. Segna in media 273.0 punti a partita. Win Shares in carriera: 2.0."
49,Scotty Hamilton,1947,50,SecondRound,"Giocatore: Scotty Hamilton. Provenienza: West Virginia. Scelto al Draft NBA 1947 con la pick 50. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
50,Bob Alameida,1947,51,SecondRound,"Giocatore: Bob Alameida. Provenienza: California. Scelto al Draft NBA 1947 con la pick 51. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
51,Ralph Bishop,1947,52,SecondRound,"Giocatore: Ralph Bishop. Provenienza: Washington. Scelto al Draft NBA 1947 con la pick 52. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
